Latitude (decimal degrees):	35.141
Longitude (decimal degrees):	33.415
Elevation (m):	142
Radiation database:	PVGIS-SARAH3


Slope: 28 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	10000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0009,0.0,0.0,0.0,0.0,0.0,10.49,2.07,0.0
20230101:0109,0.0,0.0,0.0,0.0,0.0,10.28,2.0,0.0
20230101:0209,0.0,0.0,0.0,0.0,0.0,10.02,1.93,0.0
20230101:0309,0.0,0.0,0.0,0.0,0.0,9.88,2.0,0.0
20230101:0409,0.0,0.0,0.0,0.0,0.0,9.82,2.07,0.0
20230101:0509,7900.0,0.0,7.53,0.09,1.85,9.8,2.21,0.0
20230101:0609,2619900.0,218.46,101.75,1.95,11.92,10.79,2.14,0.0
20230101:0709,4435600.0,379.62,155.52,3.75,20.58,14.34,2.62,0.0
20230101:0809,6019000.0,559.02,168.2,5.28,27.2,15.72,4.21,0.0
20230101:0909,6879100.0,672.42,167.88,6.2,31.08,16.39,4.28,0.0
20230101:1009,7061800.0,702.33,163.38,6.39,31.66,16.68,4.28,0.0
20230101:1109,5291900.0,406.23,233.41,5.04,28.84,16.81,4.34,0.0
20230101:1209,1624500.0,33.94,172.34,2.29,23.06,16.67,4.34,0.0
20230101:1309,2385800.0,162.24,132.54,2.2,15.01,16.25,4.21,0.0
20230101:1409,1111400.0,115.82,40.9,0.73,5.35,15.57,3.66,0.0
20230101:1509,0.0,0.0,0.0,0.0,0.0,14.6,3.17,0.0
20230101:1609,0.0,0.0,0.0,0.0,0.0,13.96,3.03,0.0
20230101:1709,0.0,0.0,0.0,0.0,0.0,13.61,2.97,0.0
20230101:1809,0.0,0.0,0.0,0.0,0.0,13.44,2.97,0.0
20230101:1909,0.0,0.0,0.0,0.0,0.0,13.98,3.17,0.0
20230101:2009,0.0,0.0,0.0,0.0,0.0,13.87,3.17,0.0
20230101:2109,0.0,0.0,0.0,0.0,0.0,13.65,2.9,0.0
20230101:2209,0.0,0.0,0.0,0.0,0.0,13.34,2.76,0.0
20230101:2309,0.0,0.0,0.0,0.0,0.0,13.03,2.62,0.0
20230102:0009,0.0,0.0,0.0,0.0,0.0,12.77,2.55,0.0
20230102:0109,0.0,0.0,0.0,0.0,0.0,12.54,2.69,0.0
20230102:0209,0.0,0.0,0.0,0.0,0.0,12.52,2.76,0.0
20230102:0309,0.0,0.0,0.0,0.0,0.0,12.45,2.76,0.0
20230102:0409,0.0,0.0,0.0,0.0,0.0,12.36,2.62,0.0
20230102:0509,3800.0,0.0,6.59,0.08,1.83,12.2,2.48,0.0
20230102:0609,2945500.0,266.39,95.42,2.1,11.92,12.74,2.34,0.0
20230102:0709,5127200.0,497.43,123.65,4.13,20.59,14.93,2.97,0.0
20230102:0809,6547100.0,658.65,137.84,5.65,27.24,16.13,4.21,0.0
20230102:0909,6746600.0,640.18,185.69,6.16,31.15,16.86,4.21,0.0
20230102:1009,4146000.0,216.26,285.82,4.64,31.75,17.3,4.21,0.0
20230102:1109,6455900.0,626.57,164.45,5.77,28.95,17.47,4.07,0.0
20230102:1209,5640000.0,559.35,128.04,4.71,23.18,17.39,3.93,0.0
20230102:1309,3028600.0,244.21,127.83,2.5,15.14,16.91,3.72,0.0
20230102:1409,1018000.0,103.03,42.08,0.71,5.49,16.14,3.1,0.0
20230102:1509,0.0,0.0,0.0,0.0,0.0,14.92,2.62,0.0
20230102:1609,0.0,0.0,0.0,0.0,0.0,14.0,2.28,0.0
20230102:1709,0.0,0.0,0.0,0.0,0.0,13.24,2.07,0.0
20230102:1809,0.0,0.0,0.0,0.0,0.0,12.6,2.0,0.0
20230102:1909,0.0,0.0,0.0,0.0,0.0,12.09,2.0,0.0
20230102:2009,0.0,0.0,0.0,0.0,0.0,11.66,2.07,0.0
20230102:2109,0.0,0.0,0.0,0.0,0.0,11.35,2.14,0.0
20230102:2209,0.0,0.0,0.0,0.0,0.0,11.03,2.21,0.0
20230102:2309,0.0,0.0,0.0,0.0,0.0,10.81,2.21,0.0
20230103:0009,0.0,0.0,0.0,0.0,0.0,10.55,2.21,0.0
20230103:0109,0.0,0.0,0.0,0.0,0.0,10.26,2.14,0.0
20230103:0209,0.0,0.0,0.0,0.0,0.0,9.99,2.07,0.0
20230103:0309,0.0,0.0,0.0,0.0,0.0,9.81,2.14,0.0
20230103:0409,0.0,0.0,0.0,0.0,0.0,9.67,2.14,0.0
20230103:0509,3900.0,0.0,6.59,0.08,1.81,9.57,2.14,0.0
20230103:0609,2743300.0,236.12,98.61,2.0,11.91,10.5,2.0,0.0
20230103:0709,4684800.0,426.46,139.89,3.87,20.61,14.55,2.62,0.0
20230103:0809,6110500.0,579.46,161.39,5.36,27.29,16.05,4.07,0.0
20230103:0909,6857200.0,673.68,167.58,6.23,31.22,16.9,4.07,0.0
20230103:1009,7043500.0,704.89,163.08,6.43,31.85,17.33,4.07,0.0
20230103:1109,6517000.0,641.96,156.99,5.82,29.07,17.38,4.0,0.0
20230103:1209,5366000.0,509.76,142.26,4.54,23.32,17.21,3.93,0.0
20230103:1309,3371900.0,294.41,117.95,2.66,15.28,16.69,3.86,0.0
20230103:1409,983500.0,97.63,42.68,0.71,5.62,15.87,3.31,0.0
20230103:1509,0.0,0.0,0.0,0.0,0.0,14.72,2.9,0.0
20230103:1609,0.0,0.0,0.0,0.0,0.0,13.95,2.76,0.0
20230103:1709,0.0,0.0,0.0,0.0,0.0,13.46,2.55,0.0
20230103:1809,0.0,0.0,0.0,0.0,0.0,13.05,2.41,0.0
20230103:1909,0.0,0.0,0.0,0.0,0.0,12.75,2.07,0.0
20230103:2009,0.0,0.0,0.0,0.0,0.0,12.3,2.0,0.0
20230103:2109,0.0,0.0,0.0,0.0,0.0,11.97,2.14,0.0
20230103:2209,0.0,0.0,0.0,0.0,0.0,11.66,2.21,0.0
20230103:2309,0.0,0.0,0.0,0.0,0.0,11.27,2.21,0.0
20230104:0009,0.0,0.0,0.0,0.0,0.0,10.97,2.21,0.0
20230104:0109,0.0,0.0,0.0,0.0,0.0,10.7,2.21,0.0
20230104:0209,0.0,0.0,0.0,0.0,0.0,10.56,2.28,0.0
20230104:0309,0.0,0.0,0.0,0.0,0.0,10.44,2.34,0.0
20230104:0409,0.0,0.0,0.0,0.0,0.0,10.23,2.28,0.0
20230104:0509,7900.0,0.0,7.53,0.09,1.79,9.95,2.21,0.0
20230104:0609,2802200.0,242.48,99.47,2.04,11.92,10.53,1.93,0.0
20230104:0709,4754300.0,436.73,140.81,3.94,20.64,14.12,1.93,0.0
20230104:0809,6096800.0,583.56,164.3,5.42,27.34,16.15,2.9,0.0
20230104:0909,6847900.0,679.09,170.49,6.3,31.3,17.18,3.17,0.0
20230104:1009,7019200.0,711.74,166.04,6.51,31.96,17.9,3.03,0.0
20230104:1109,6397700.0,632.19,164.24,5.83,29.2,18.34,2.9,0.0
20230104:1209,5315200.0,509.96,146.1,4.59,23.46,18.43,2.76,0.0
20230104:1309,3314900.0,288.72,122.29,2.68,15.42,18.12,2.48,0.0
20230104:1409,997200.0,92.38,50.12,0.73,5.77,17.14,1.72,0.0
20230104:1509,0.0,0.0,0.0,0.0,0.0,15.17,1.72,0.0
20230104:1609,0.0,0.0,0.0,0.0,0.0,13.26,1.79,0.0
20230104:1709,0.0,0.0,0.0,0.0,0.0,11.75,1.72,0.0
20230104:1809,0.0,0.0,0.0,0.0,0.0,10.82,1.79,0.0
20230104:1909,0.0,0.0,0.0,0.0,0.0,10.56,1.86,0.0
20230104:2009,0.0,0.0,0.0,0.0,0.0,9.86,1.86,0.0
20230104:2109,0.0,0.0,0.0,0.0,0.0,9.33,1.86,0.0
20230104:2209,0.0,0.0,0.0,0.0,0.0,8.9,1.86,0.0
20230104:2309,0.0,0.0,0.0,0.0,0.0,8.72,1.86,0.0
20230105:0009,0.0,0.0,0.0,0.0,0.0,8.58,1.86,0.0
20230105:0109,0.0,0.0,0.0,0.0,0.0,8.42,1.86,0.0
20230105:0209,0.0,0.0,0.0,0.0,0.0,8.4,1.86,0.0
20230105:0309,0.0,0.0,0.0,0.0,0.0,8.49,1.79,0.0
20230105:0409,0.0,0.0,0.0,0.0,0.0,8.49,1.72,0.0
20230105:0509,400.0,0.0,5.65,0.07,1.79,7.55,1.72,0.0
20230105:0609,2758500.0,237.31,98.64,2.01,11.93,9.19,1.31,0.0
20230105:0709,4675500.0,430.31,140.0,3.91,20.67,12.9,0.97,0.0
20230105:0809,5957000.0,585.86,160.15,5.41,27.4,15.09,0.9,0.0
20230105:0909,6585200.0,671.29,171.05,6.26,31.39,16.28,0.76,0.0
20230105:1009,6675100.0,684.26,173.45,6.4,32.08,17.02,0.83,0.0
20230105:1109,6196100.0,625.7,164.78,5.81,29.34,17.49,0.83,0.0
20230105:1209,5274900.0,525.96,140.02,4.65,23.6,17.76,0.69,0.0
20230105:1309,3397500.0,309.51,117.43,2.75,15.57,17.65,0.48,0.0
20230105:1409,1261600.0,124.21,52.14,0.82,5.91,16.89,0.48,0.0
20230105:1509,0.0,0.0,0.0,0.0,0.0,15.57,0.62,0.0
20230105:1609,0.0,0.0,0.0,0.0,0.0,13.68,0.9,0.0
20230105:1709,0.0,0.0,0.0,0.0,0.0,12.08,1.31,0.0
20230105:1809,0.0,0.0,0.0,0.0,0.0,11.16,1.59,0.0
20230105:1909,0.0,0.0,0.0,0.0,0.0,10.84,1.66,0.0
20230105:2009,0.0,0.0,0.0,0.0,0.0,10.25,1.66,0.0
20230105:2109,0.0,0.0,0.0,0.0,0.0,9.67,1.52,0.0
20230105:2209,0.0,0.0,0.0,0.0,0.0,9.23,1.45,0.0
20230105:2309,0.0,0.0,0.0,0.0,0.0,8.97,1.38,0.0
20230106:0009,0.0,0.0,0.0,0.0,0.0,8.65,1.38,0.0
20230106:0109,0.0,0.0,0.0,0.0,0.0,8.49,1.38,0.0
20230106:0209,0.0,0.0,0.0,0.0,0.0,8.21,1.38,0.0
20230106:0309,0.0,0.0,0.0,0.0,0.0,7.99,1.45,0.0
20230106:0409,0.0,0.0,0.0,0.0,0.0,7.69,1.45,0.0
20230106:0509,4100.0,0.0,6.59,0.08,1.79,7.38,1.38,0.0
20230106:0609,2656000.0,225.24,98.24,1.97,11.94,8.66,1.1,0.0
20230106:0709,4586000.0,420.16,140.18,3.86,20.71,13.43,0.97,0.0
20230106:0809,5890900.0,574.54,160.38,5.35,27.47,15.96,1.31,0.0
20230106:0909,6613400.0,668.33,169.21,6.24,31.49,17.21,1.52,0.0
20230106:1009,6612000.0,663.31,177.04,6.31,32.2,18.07,1.59,0.0
20230106:1109,6199600.0,624.14,162.94,5.79,29.48,18.32,1.31,0.0
20230106:1209,5034300.0,481.98,151.03,4.49,23.75,18.51,0.97,0.0
20230106:1309,2760100.0,212.57,134.04,2.47,15.72,18.34,1.1,0.0
20230106:1409,847200.0,72.47,50.81,0.71,6.06,17.4,0.97,0.0
20230106:1509,0.0,0.0,0.0,0.0,0.0,15.86,0.9,0.0
20230106:1609,0.0,0.0,0.0,0.0,0.0,14.24,1.38,0.0
20230106:1709,0.0,0.0,0.0,0.0,0.0,13.19,1.59,0.0
20230106:1809,0.0,0.0,0.0,0.0,0.0,12.36,1.59,0.0
20230106:1909,0.0,0.0,0.0,0.0,0.0,11.71,1.45,0.0
20230106:2009,0.0,0.0,0.0,0.0,0.0,11.29,1.59,0.0
20230106:2109,0.0,0.0,0.0,0.0,0.0,11.26,1.66,0.0
20230106:2209,0.0,0.0,0.0,0.0,0.0,11.06,1.79,0.0
20230106:2309,0.0,0.0,0.0,0.0,0.0,11.01,1.86,0.0
20230107:0009,0.0,0.0,0.0,0.0,0.0,10.89,1.86,0.0
20230107:0109,0.0,0.0,0.0,0.0,0.0,10.79,1.86,0.0
20230107:0209,0.0,0.0,0.0,0.0,0.0,10.77,1.93,0.0
20230107:0309,0.0,0.0,0.0,0.0,0.0,10.92,1.93,0.0
20230107:0409,0.0,0.0,0.0,0.0,0.0,9.53,2.0,0.0
20230107:0509,0.0,0.0,0.94,0.01,1.79,9.33,1.93,0.0
20230107:0609,2321200.0,181.41,103.7,1.85,11.97,10.02,1.59,0.0
20230107:0709,4570500.0,419.11,139.88,3.86,20.76,14.0,1.1,0.0
20230107:0809,5942000.0,573.29,161.41,5.36,27.54,15.51,1.79,0.0
20230107:0909,6653800.0,668.56,168.95,6.25,31.6,16.42,1.66,0.0
20230107:1009,4860700.0,324.43,277.52,5.17,32.33,17.13,1.52,0.0
20230107:1109,4417700.0,289.73,256.34,4.67,29.63,17.42,1.45,0.0
20230107:1209,2090600.0,68.36,194.67,2.73,23.9,17.49,1.45,0.0
20230107:1309,1294000.0,46.29,123.34,1.7,15.88,16.94,1.79,0.0
20230107:1409,418500.0,25.85,41.58,0.55,6.22,16.19,1.66,0.0
20230107:1509,0.0,0.0,0.0,0.0,0.0,15.09,1.1,0.0
20230107:1609,0.0,0.0,0.0,0.0,0.0,13.67,0.83,0.0
20230107:1709,0.0,0.0,0.0,0.0,0.0,13.12,0.76,0.0
20230107:1809,0.0,0.0,0.0,0.0,0.0,13.04,0.62,0.0
20230107:1909,0.0,0.0,0.0,0.0,0.0,12.85,0.55,0.0
20230107:2009,0.0,0.0,0.0,0.0,0.0,12.04,0.62,0.0
20230107:2109,0.0,0.0,0.0,0.0,0.0,11.29,0.76,0.0
20230107:2209,0.0,0.0,0.0,0.0,0.0,10.58,0.9,0.0
20230107:2309,0.0,0.0,0.0,0.0,0.0,10.35,0.97,0.0
20230108:0009,0.0,0.0,0.0,0.0,0.0,10.36,0.9,0.0
20230108:0109,0.0,0.0,0.0,0.0,0.0,10.13,0.97,0.0
20230108:0209,0.0,0.0,0.0,0.0,0.0,9.95,0.97,0.0
20230108:0309,0.0,0.0,0.0,0.0,0.0,9.93,0.9,0.0
20230108:0409,0.0,0.0,0.0,0.0,0.0,9.95,0.83,0.0
20230108:0509,3900.0,0.0,6.59,0.08,1.8,9.77,0.83,0.0
20230108:0609,2562200.0,216.9,99.56,1.95,12.0,10.73,0.62,0.0
20230108:0709,4553200.0,414.34,143.31,3.87,20.81,13.4,0.76,0.0
20230108:0809,5991200.0,577.01,161.46,5.4,27.62,15.32,2.0,0.0
20230108:0909,6726900.0,673.58,169.02,6.3,31.71,16.14,1.93,0.0
20230108:1009,6682400.0,655.43,183.85,6.34,32.47,16.72,1.93,0.0
20230108:1109,2708800.0,87.51,246.62,3.5,29.78,16.93,2.28,0.0
20230108:1209,4504300.0,358.03,191.48,4.18,24.07,16.81,2.55,0.0
20230108:1309,2130400.0,126.02,139.92,2.19,16.04,16.33,2.76,0.0
20230108:1409,1377700.0,133.18,54.73,0.9,6.38,15.61,2.83,0.0
20230108:1509,0.0,0.0,0.0,0.0,0.0,14.6,2.28,0.0
20230108:1609,0.0,0.0,0.0,0.0,0.0,13.65,1.93,0.0
20230108:1709,0.0,0.0,0.0,0.0,0.0,12.89,1.66,0.0
20230108:1809,0.0,0.0,0.0,0.0,0.0,12.07,1.45,0.0
20230108:1909,0.0,0.0,0.0,0.0,0.0,11.7,1.79,0.0
20230108:2009,0.0,0.0,0.0,0.0,0.0,11.17,1.86,0.0
20230108:2109,0.0,0.0,0.0,0.0,0.0,10.79,2.0,0.0
20230108:2209,0.0,0.0,0.0,0.0,0.0,10.46,2.07,0.0
20230108:2309,0.0,0.0,0.0,0.0,0.0,10.13,2.07,0.0
20230109:0009,0.0,0.0,0.0,0.0,0.0,9.92,2.14,0.0
20230109:0109,0.0,0.0,0.0,0.0,0.0,9.67,2.21,0.0
20230109:0209,0.0,0.0,0.0,0.0,0.0,9.54,2.21,0.0
20230109:0309,0.0,0.0,0.0,0.0,0.0,9.48,2.28,0.0
20230109:0409,0.0,0.0,0.0,0.0,0.0,9.41,2.28,0.0
20230109:0509,300.0,0.0,5.65,0.07,1.81,9.3,2.28,0.0
20230109:0609,1362200.0,72.01,101.79,1.46,12.03,10.3,2.21,0.0
20230109:0709,4635500.0,404.04,148.83,3.87,20.87,13.21,3.59,0.0
20230109:0809,6023400.0,543.71,177.27,5.34,27.71,14.23,4.48,0.0
20230109:0909,6372000.0,548.64,220.19,5.96,31.83,14.8,4.28,0.0
20230109:1009,4997300.0,316.42,283.67,5.21,32.61,15.25,4.14,0.0
20230109:1109,4593400.0,289.77,261.37,4.74,29.94,15.37,4.07,0.0
20230109:1209,5032000.0,428.02,176.33,4.45,24.23,15.21,3.93,0.0
20230109:1309,3612700.0,318.06,119.08,2.87,16.2,14.8,3.66,0.0
20230109:1409,1234700.0,112.01,56.5,0.88,6.54,14.15,3.24,0.0
20230109:1509,0.0,0.0,0.0,0.0,0.0,13.24,2.41,0.0
20230109:1609,0.0,0.0,0.0,0.0,0.0,12.35,2.0,0.0
20230109:1709,0.0,0.0,0.0,0.0,0.0,11.54,1.66,0.0
20230109:1809,0.0,0.0,0.0,0.0,0.0,10.47,1.38,0.0
20230109:1909,0.0,0.0,0.0,0.0,0.0,9.8,1.38,0.0
20230109:2009,0.0,0.0,0.0,0.0,0.0,9.21,1.31,0.0
20230109:2109,0.0,0.0,0.0,0.0,0.0,8.89,1.24,0.0
20230109:2209,0.0,0.0,0.0,0.0,0.0,8.55,1.17,0.0
20230109:2309,0.0,0.0,0.0,0.0,0.0,8.25,1.17,0.0
20230110:0009,0.0,0.0,0.0,0.0,0.0,7.92,1.24,0.0
20230110:0109,0.0,0.0,0.0,0.0,0.0,7.74,1.17,0.0
20230110:0209,0.0,0.0,0.0,0.0,0.0,7.75,1.1,0.0
20230110:0309,0.0,0.0,0.0,0.0,0.0,7.91,1.03,0.0
20230110:0409,0.0,0.0,0.0,0.0,0.0,8.01,0.9,0.0
20230110:0509,8100.0,0.0,7.53,0.09,1.83,8.36,0.76,0.0
20230110:0609,2763200.0,241.95,97.07,2.05,12.07,9.26,0.41,0.0
20230110:0709,4744800.0,444.53,136.11,4.0,20.94,12.04,0.48,0.0
20230110:0809,6049600.0,589.16,160.49,5.49,27.81,14.21,1.31,0.0
20230110:0909,6757200.0,686.54,167.92,6.4,31.95,14.98,1.1,0.0
20230110:1009,6770000.0,694.01,173.81,6.54,32.76,15.66,0.69,0.0
20230110:1109,6354300.0,653.33,160.76,6.03,30.11,16.3,0.48,0.0
20230110:1209,5370200.0,532.09,143.88,4.8,24.4,16.73,0.62,0.0
20230110:1309,3501600.0,310.11,123.1,2.88,16.37,16.57,1.45,0.0
20230110:1409,1329000.0,125.17,56.63,0.92,6.7,15.78,1.93,0.0
20230110:1509,0.0,0.0,0.0,0.0,0.0,14.24,1.86,0.0
20230110:1609,0.0,0.0,0.0,0.0,0.0,12.93,1.66,0.0
20230110:1709,0.0,0.0,0.0,0.0,0.0,11.78,1.45,0.0
20230110:1809,0.0,0.0,0.0,0.0,0.0,10.62,1.24,0.0
20230110:1909,0.0,0.0,0.0,0.0,0.0,9.99,1.38,0.0
20230110:2009,0.0,0.0,0.0,0.0,0.0,9.67,1.31,0.0
20230110:2109,0.0,0.0,0.0,0.0,0.0,9.53,1.24,0.0
20230110:2209,0.0,0.0,0.0,0.0,0.0,9.61,1.1,0.0
20230110:2309,0.0,0.0,0.0,0.0,0.0,9.86,0.97,0.0
20230111:0009,0.0,0.0,0.0,0.0,0.0,9.81,0.97,0.0
20230111:0109,0.0,0.0,0.0,0.0,0.0,9.69,1.03,0.0
20230111:0209,0.0,0.0,0.0,0.0,0.0,9.6,1.1,0.0
20230111:0309,0.0,0.0,0.0,0.0,0.0,9.53,1.17,0.0
20230111:0409,0.0,0.0,0.0,0.0,0.0,9.41,1.24,0.0
20230111:0509,0.0,0.0,0.94,0.01,1.86,9.45,1.31,0.0
20230111:0609,150200.0,0.0,30.11,0.37,12.12,10.48,1.31,0.0
20230111:0709,1356400.0,25.32,149.06,1.97,21.01,14.12,2.14,0.0
20230111:0809,762300.0,0.0,106.34,1.32,27.91,15.41,3.59,0.0
20230111:0909,960400.0,0.0,129.87,1.62,32.09,16.15,3.72,0.0
20230111:1009,4597400.0,271.4,283.93,4.97,32.92,16.23,3.72,0.0
20230111:1109,2507200.0,67.1,240.85,3.34,30.28,16.26,3.66,0.0
20230111:1209,1945100.0,51.79,190.39,2.61,24.58,15.29,3.17,0.0
20230111:1309,803000.0,9.81,101.24,1.3,16.55,15.28,3.03,0.0
20230111:1409,355300.0,14.98,43.21,0.56,6.87,14.32,2.62,0.0
20230111:1509,0.0,0.0,0.0,0.0,0.0,13.33,2.48,0.0
20230111:1609,0.0,0.0,0.0,0.0,0.0,12.97,2.41,0.0
20230111:1709,0.0,0.0,0.0,0.0,0.0,12.97,2.41,0.0
20230111:1809,0.0,0.0,0.0,0.0,0.0,13.08,2.48,0.0
20230111:1909,0.0,0.0,0.0,0.0,0.0,13.75,2.9,0.0
20230111:2009,0.0,0.0,0.0,0.0,0.0,13.71,3.1,0.0
20230111:2109,0.0,0.0,0.0,0.0,0.0,13.65,3.1,0.0
20230111:2209,0.0,0.0,0.0,0.0,0.0,13.55,2.83,0.0
20230111:2309,0.0,0.0,0.0,0.0,0.0,13.23,2.62,0.0
20230112:0009,0.0,0.0,0.0,0.0,0.0,13.02,2.55,0.0
20230112:0109,0.0,0.0,0.0,0.0,0.0,12.92,2.55,0.0
20230112:0209,0.0,0.0,0.0,0.0,0.0,12.85,2.62,0.0
20230112:0309,0.0,0.0,0.0,0.0,0.0,12.81,2.76,0.0
20230112:0409,0.0,0.0,0.0,0.0,0.0,12.5,2.83,0.0
20230112:0509,0.0,0.0,2.82,0.04,1.89,12.49,2.9,0.0
20230112:0609,553100.0,8.87,71.97,0.92,12.17,12.77,2.9,0.0
20230112:0709,1116800.0,10.81,135.25,1.73,21.09,13.12,3.24,0.0
20230112:0809,872300.0,0.0,118.58,1.47,28.02,13.96,3.1,0.0
20230112:0909,599700.0,0.0,86.58,1.08,32.23,13.85,3.24,0.0
20230112:1009,704800.0,0.0,98.81,1.23,33.09,13.41,3.03,0.0
20230112:1109,570000.0,0.0,82.82,1.03,30.46,12.91,2.28,0.0
20230112:1209,555500.0,0.0,80.93,1.01,24.76,12.51,2.62,0.0
20230112:1309,391900.0,0.0,61.17,0.76,16.73,12.1,2.41,0.0
20230112:1409,427800.0,20.58,46.17,0.61,7.05,11.5,2.48,0.0
20230112:1509,0.0,0.0,0.0,0.0,0.0,11.1,2.41,0.0
20230112:1609,0.0,0.0,0.0,0.0,0.0,10.84,2.48,0.0
20230112:1709,0.0,0.0,0.0,0.0,0.0,10.81,2.76,0.0
20230112:1809,0.0,0.0,0.0,0.0,0.0,10.62,2.48,0.0
20230112:1909,0.0,0.0,0.0,0.0,0.0,10.68,2.34,0.0
20230112:2009,0.0,0.0,0.0,0.0,0.0,10.38,2.28,0.0
20230112:2109,0.0,0.0,0.0,0.0,0.0,10.15,1.93,0.0
20230112:2209,0.0,0.0,0.0,0.0,0.0,10.03,1.59,0.0
20230112:2309,0.0,0.0,0.0,0.0,0.0,9.98,1.31,0.0
20230113:0009,0.0,0.0,0.0,0.0,0.0,9.54,1.38,0.0
20230113:0109,0.0,0.0,0.0,0.0,0.0,9.14,1.31,0.0
20230113:0209,0.0,0.0,0.0,0.0,0.0,8.51,1.31,0.0
20230113:0309,0.0,0.0,0.0,0.0,0.0,8.19,1.24,0.0
20230113:0409,0.0,0.0,0.0,0.0,0.0,8.06,1.17,0.0
20230113:0509,0.0,0.0,0.94,0.01,1.93,8.37,1.03,0.0
20230113:0609,304500.0,0.0,49.88,0.62,12.23,9.28,0.9,0.0
20230113:0709,1460300.0,30.53,153.74,2.05,21.17,11.79,2.41,0.0
20230113:0809,2759600.0,96.24,235.94,3.41,28.14,12.29,2.69,0.0
20230113:0909,617500.0,0.0,88.46,1.1,32.37,13.14,2.9,0.0
20230113:1009,1682600.0,7.98,203.39,2.58,33.26,13.58,2.9,0.0
20230113:1109,240300.0,0.0,42.35,0.53,30.64,12.99,2.97,0.0
20230113:1209,248200.0,0.0,43.29,0.54,24.95,12.47,2.62,0.0
20230113:1309,1882700.0,91.01,141.87,2.11,16.91,12.13,2.28,0.0
20230113:1409,650400.0,40.4,54.03,0.74,7.22,11.43,2.14,0.0
20230113:1509,0.0,0.0,0.0,0.0,0.0,10.74,1.93,0.0
20230113:1609,0.0,0.0,0.0,0.0,0.0,10.53,1.38,0.0
20230113:1709,0.0,0.0,0.0,0.0,0.0,10.22,1.31,0.0
20230113:1809,0.0,0.0,0.0,0.0,0.0,9.94,1.24,0.0
20230113:1909,0.0,0.0,0.0,0.0,0.0,10.25,2.55,0.0
20230113:2009,0.0,0.0,0.0,0.0,0.0,10.53,2.69,0.0
20230113:2109,0.0,0.0,0.0,0.0,0.0,10.36,2.76,0.0
20230113:2209,0.0,0.0,0.0,0.0,0.0,10.42,2.76,0.0
20230113:2309,0.0,0.0,0.0,0.0,0.0,10.59,2.97,0.0
20230114:0009,0.0,0.0,0.0,0.0,0.0,10.77,3.1,0.0
20230114:0109,0.0,0.0,0.0,0.0,0.0,10.64,3.66,0.0
20230114:0209,0.0,0.0,0.0,0.0,0.0,10.55,3.93,0.0
20230114:0309,0.0,0.0,0.0,0.0,0.0,10.54,3.86,0.0
20230114:0409,0.0,0.0,0.0,0.0,0.0,10.54,3.59,0.0
20230114:0509,0.0,0.0,0.94,0.01,1.97,10.57,3.86,0.0
20230114:0609,1640300.0,100.89,104.48,1.6,12.3,10.74,4.0,0.0
20230114:0709,489000.0,0.0,72.46,0.9,21.27,10.94,4.28,0.0
20230114:0809,936000.0,0.0,124.22,1.55,28.26,10.96,4.28,0.0
20230114:0909,2339400.0,41.64,240.85,3.22,32.53,11.2,3.59,0.0
20230114:1009,1219500.0,0.0,157.16,1.95,33.44,11.56,2.69,0.0
20230114:1109,2122700.0,35.65,223.86,2.97,30.83,11.77,2.48,0.0
20230114:1209,1253900.0,8.52,152.68,1.94,25.14,11.9,2.34,0.0
20230114:1309,3599100.0,309.63,123.38,2.95,17.1,11.87,2.0,0.0
20230114:1409,7800.0,0.0,7.53,0.09,7.4,11.46,1.86,0.0
20230114:1509,0.0,0.0,0.0,0.0,0.0,11.1,1.72,0.0
20230114:1609,0.0,0.0,0.0,0.0,0.0,11.16,1.52,0.0
20230114:1709,0.0,0.0,0.0,0.0,0.0,10.89,1.17,0.0
20230114:1809,0.0,0.0,0.0,0.0,0.0,10.68,0.83,0.0
20230114:1909,0.0,0.0,0.0,0.0,0.0,10.84,1.86,0.0
20230114:2009,0.0,0.0,0.0,0.0,0.0,11.09,2.14,0.0
20230114:2109,0.0,0.0,0.0,0.0,0.0,11.17,2.28,0.0
20230114:2209,0.0,0.0,0.0,0.0,0.0,11.11,2.21,0.0
20230114:2309,0.0,0.0,0.0,0.0,0.0,11.02,2.07,0.0
20230115:0009,0.0,0.0,0.0,0.0,0.0,10.78,2.14,0.0
20230115:0109,0.0,0.0,0.0,0.0,0.0,10.7,2.07,0.0
20230115:0209,0.0,0.0,0.0,0.0,0.0,10.55,1.93,0.0
20230115:0309,0.0,0.0,0.0,0.0,0.0,10.29,1.86,0.0
20230115:0409,0.0,0.0,0.0,0.0,0.0,10.13,1.79,0.0
20230115:0509,0.0,0.0,0.94,0.01,2.02,10.09,1.45,0.0
20230115:0609,1283100.0,65.39,99.9,1.44,12.37,10.59,1.38,0.0
20230115:0709,2399600.0,110.46,181.41,2.74,21.37,12.43,2.0,0.0
20230115:0809,2237800.0,54.41,219.74,3.01,28.39,13.22,2.41,0.0
20230115:0909,2388900.0,46.3,245.4,3.3,32.69,13.28,2.62,0.0
20230115:1009,1774400.0,11.11,211.36,2.69,33.62,13.93,2.41,0.0
20230115:1109,780400.0,0.0,108.23,1.35,31.03,14.46,2.21,0.0
